ref_ds,ref_fournisseur,libelle_source,groupe_articles,code_remise,code_barre,type_code_barre,source_ligne
V015550,,Coude 45° DW32 Ø 550 mm,CHEM,A01,5900856862652,EAN13,18482
V015600,,Coude 45° DW32 Ø 600 mm,CHEM,A01,5900856529012,EAN13,18483
V016130,,Coude 90° DW32 Ø 130 mm,CHEM,A01,5900856145694,EAN13,18484
V016150,DW60B150,Coude 90° DW32 Ø 150 mm,CHEM,A01,5900856145687,EAN13,18485
V016180,,Coude 90° DW32 Ø 180 mm,CHEM,A01,5900856145663,EAN13,18486
V016200,,Coude 90° DW32 Ø 200 mm,CHEM,A01,5900856145656,EAN13,18487
V016250,,Coude 90° DW32 Ø 250 mm,CHEM,A01,5900856145632,EAN13,18488
V016300,,Coude 90° DW32 Ø 300 mm,CHEM,A01,5900856145625,EAN13,18489
V016350,,Coude 90° DW32 Ø 350 mm,CHEM,A01,5900856145618,EAN13,18490
V016400,,Coude 90° DW32 Ø 400 mm,CHEM,A01,5900856021813,EAN13,18491
V016400,,Coude 90° DW32 Ø 400 mm,CHEM,A01,5900856862669,EAN13,18492
V016450,,Coude 90° DW32 Ø 450 mm,CHEM,A01,5900856546477,EAN13,18493
V016500,,Coude 90° DW32 Ø 500 mm,CHEM,A01,5900856546484,EAN13,18494
V016550,,Coude 90° DW32 Ø 550 mm,CHEM,A01,5900856021844,EAN13,18495
V016550,,Coude 90° DW32 Ø 550 mm,CHEM,A01,5900856862676,EAN13,18496
V016600,,Coude 90° DW32 Ø 600 mm,CHEM,A01,5900856021851,EAN13,18497
V016600,,Coude 90° DW32 Ø 600 mm,CHEM,A01,5900856862683,EAN13,18498
V016B130,,Coude 90° + portillon DW32 Ø 130 mm,CHEM,A01,5900856014556,EAN13,18499
V016B150,,Coude 90° + portillon DW32 Ø 150 mm,CHEM,A01,5900856530193,EAN13,18500
V016B180,,Coude 90° + portillon DW32 Ø 180 mm,CHEM,A01,5900246430409,EAN13,18501
V016B180,,Coude 90° + portillon DW32 Ø 180 mm,CHEM,A01,5900856530209,EAN13,18502
V016B200,,Coude 90° + portillon DW32 Ø 200 mm,CHEM,A01,5900856014600,EAN13,18503
V016B200,,Coude 90° + portillon DW32 Ø 200 mm,CHEM,A01,5900856869378,EAN13,18504
V016B250,,Coude 90° + portillon DW32 Ø 250 mm,CHEM,A01,5900856530216,EAN13,18505
V016B300,,Coude 90° + portillon DW32 Ø 300 mm,CHEM,A01,5900856014631,EAN13,18506
V016B300,,Coude 90° + portillon DW32 Ø 300 mm,CHEM,A01,5900856869385,EAN13,18507
V016B350,,Coude 90° + portillon DW32 Ø 350 mm,CHEM,A01,5900856530223,EAN13,18508
V016B400,,Coude 90° + portillon DW32 Ø 400 mm,CHEM,A01,5900856014655,EAN13,18509
V016B400,,Coude 90° + portillon DW32 Ø 400 mm,CHEM,A01,5900856869392,EAN13,18510
V016B450,,Coude 90° + portillon DW32 Ø 450 mm,CHEM,A01,5900856530230,EAN13,18511
V016B500,,Coude 90° + portillon DW32 Ø 500 mm,CHEM,A01,5900856014679,EAN13,18512
V016B500,,Coude 90° + portillon DW32 Ø 500 mm,CHEM,A01,5900856869408,EAN13,18513
V016B550,,Coude 90° + portillon DW32 Ø 550 mm,CHEM,A01,5900856014686,EAN13,18514
V016B600,,Coude 90° + portillon DW32 Ø 600 mm,CHEM,A01,5900856014693,EAN13,18515
V016B600,,Coude 90° + portillon DW32 Ø 600 mm,CHEM,A01,5900856869422,EAN13,18516
V016C130,,Coude 87° DW32 Ø 130 mm,CHEM,A01,5900856546972,EAN13,18517
V016C150,,Coude 87° DW32 Ø 150 mm,CHEM,A01,5900856546989,EAN13,18518
V016C180,,Coude 87° DW32 Ø 180 mm,CHEM,A01,5900856547009,EAN13,18519
V016C180,,Coude 87° DW32 Ø 180 mm,CHEM,A01,5900856447002,EAN13,18520
V016C200,DW64B200,Coude 87° DW32 Ø 200 mm,CHEM,A01,5900856547016,EAN13,18521
V016C250,,Coude 87° DW32 Ø 250 mm,CHEM,A01,5900856547030,EAN13,18522
V016C300,,Coude 87° DW32 Ø 300 mm,CHEM,A01,5900856547047,EAN13,18523
V016C350,,Coude 87° DW32 Ø 350 mm,CHEM,A01,5900856547054,EAN13,18524
