articles_numero;photo_source;articles_photo;type_correspondance;statut;detail
AEBBRED130100;;;aucune;IGNOREE;
AEBBRED130120;;;aucune;IGNOREE;
AEBBRED13090;;;aucune;IGNOREE;
AEBBRED140100;;;aucune;IGNOREE;
AEBBRED140110;;;aucune;IGNOREE;
AEBBRED140120;;;aucune;IGNOREE;
AEBBRED140130;;;aucune;IGNOREE;
AEBBRED150120;;;aucune;IGNOREE;
AEBBRED150130;;;aucune;IGNOREE;
AEBBRED150140;;;aucune;IGNOREE;
AEBBRED160140;;;aucune;IGNOREE;
AEBBRED160150;;;aucune;IGNOREE;
AEBBRED90080;;;aucune;IGNOREE;
AEBM01080;;;aucune;IGNOREE;
AEBM01090;;;aucune;IGNOREE;
AEBM01100;;;aucune;IGNOREE;
AEBM01110;;;aucune;IGNOREE;
AEBM01120;;;aucune;IGNOREE;
AEBM01130;;;aucune;IGNOREE;
AEBM01140;;;aucune;IGNOREE;
AEBM01150;;;aucune;IGNOREE;
AEBM01160;;;aucune;IGNOREE;
AEBM01180;;;aucune;IGNOREE;
AEBM01200;;;aucune;IGNOREE;
AEBM02080;;;aucune;IGNOREE;
AEBM02090;;;aucune;IGNOREE;
AEBM02100;;;aucune;IGNOREE;
AEBM02110;;;aucune;IGNOREE;
AEBM02120;;;aucune;IGNOREE;
AEBM02130;;;aucune;IGNOREE;
AEBM02140;;;aucune;IGNOREE;
AEBM02150;;;aucune;IGNOREE;
AEBM02160;;;aucune;IGNOREE;
AEBM02180;;;aucune;IGNOREE;
AEBM02200;;;aucune;IGNOREE;
AEBM02D080;;;aucune;IGNOREE;
AEBM02D100;;;aucune;IGNOREE;
AEBM02D120;;;aucune;IGNOREE;
AEBM02D130;;;aucune;IGNOREE;
AEBM03080;;;aucune;IGNOREE;
AEBM03090;;;aucune;IGNOREE;
AEBM03100;;;aucune;IGNOREE;
AEBM03110;;;aucune;IGNOREE;
AEBM03120;;;aucune;IGNOREE;
AEBM03130;;;aucune;IGNOREE;
AEBM03140;;;aucune;IGNOREE;
